area,product_name,color,category,units_sold,month
Koramangala,Campus Signature White Accessorie,Black,Bottoms,157,April 2025
Koramangala,HRX Classic Pastel Ethnic Wear,Beige,Bottoms,55,April 2025
Koramangala,Campus Signature Navy Footwear,Beige,Footwear,161,April 2025
Koramangala,Puma Urban Black Top,Beige,Accessories,154,April 2025
Koramangala,W Essential Maroon Bottom,Olive,Ethnic Wear,148,April 2025
Koramangala,HRX Urban Pastel Footwear,Navy,Ethnic Wear,19,April 2025
Koramangala,Campus Exclusive Maroon Top,Black,Bottoms,164,April 2025
Koramangala,HRX Urban Beige Bottom,Black,Accessories,132,April 2025
Koramangala,Puma Signature White Top,Beige,Accessories,61,April 2025
Koramangala,Biba Premium Blue Bottom,Beige,Bottoms,92,April 2025
Koramangala,Van Heusen Essential Mustard Top,Black,Bottoms,160,April 2025
Koramangala,W Essential Maroon Bottom,White,Accessories,103,April 2025
Koramangala,HRX Modern Navy Top,Beige,Ethnic Wear,160,April 2025
Koramangala,Biba Classic Navy Top,Beige,Footwear,92,April 2025
Koramangala,Biba Modern Navy Bottom,Navy,Ethnic Wear,173,April 2025
Indiranagar,Biba Premium Mustard Accessorie,Beige,Bottoms,191,April 2025
Indiranagar,HRX Premium Olive Accessorie,Beige,Bottoms,180,April 2025
Indiranagar,Van Heusen Luxury Olive Bottom,Mustard,Footwear,197,April 2025
Indiranagar,Biba Essential Beige Footwear,Navy,Bottoms,196,April 2025
Indiranagar,Puma Signature White Top,Mustard,Accessories,18,April 2025
Indiranagar,Biba Designer Blue Bottom,Beige,Accessories,66,April 2025
Indiranagar,Van Heusen Basic White Accessorie,White,Ethnic Wear,46,April 2025
Indiranagar,Puma Exclusive White Footwear,White,Bottoms,98,April 2025
Indiranagar,Puma Elite Pastel Footwear,Navy,Tops,191,April 2025
Indiranagar,Biba Classic Olive Footwear,Pastel,Tops,77,April 2025
Indiranagar,W Basic Maroon Bottom,Olive,Tops,99,April 2025
Indiranagar,W Essential White Footwear,White,Tops,22,April 2025
Indiranagar,Van Heusen Basic White Ethnic Wear,Pastel,Ethnic Wear,52,April 2025
Indiranagar,Campus Premium Navy Ethnic Wear,Pastel,Ethnic Wear,99,April 2025
Indiranagar,W Exclusive Mustard Accessorie,Mustard,Tops,132,April 2025
Whitefield,HRX Urban Maroon Accessorie,Olive,Bottoms,125,April 2025
Whitefield,HRX Modern Navy Top,Black,Footwear,15,April 2025
Whitefield,Puma Elite Pastel Footwear,Maroon,Tops,28,April 2025
Whitefield,Roadster Exclusive Maroon Footwear,Navy,Ethnic Wear,51,April 2025
Whitefield,Van Heusen Designer Maroon Top,Blue,Tops,96,April 2025
Whitefield,Puma Classic Pastel Accessorie,Black,Ethnic Wear,177,April 2025
Whitefield,Biba Basic Black Bottom,Mustard,Bottoms,23,April 2025
Whitefield,Biba Classic Navy Top,Beige,Bottoms,58,April 2025
Whitefield,W Classic Navy Ethnic Wear,Blue,Accessories,77,April 2025
Whitefield,HRX Exclusive Pastel Footwear,Maroon,Bottoms,34,April 2025
Whitefield,HRX Modern Beige Top,Mustard,Accessories,150,April 2025
Whitefield,Puma Urban Blue Accessorie,Navy,Tops,102,April 2025
Whitefield,Campus Urban Maroon Top,Mustard,Tops,85,April 2025
Whitefield,Puma Exclusive Navy Accessorie,Olive,Tops,16,April 2025
Whitefield,W Urban Pastel Bottom,Navy,Footwear,30,April 2025
Jayanagar,Puma Elite Olive Accessorie,White,Footwear,111,April 2025
Jayanagar,Biba Classic Beige Accessorie,Pastel,Footwear,33,April 2025
Jayanagar,Biba Classic Olive Accessorie,Mustard,Bottoms,104,April 2025
Jayanagar,Puma Premium White Ethnic Wear,Beige,Bottoms,124,April 2025
Jayanagar,Roadster Essential Navy Top,Maroon,Ethnic Wear,129,April 2025
Jayanagar,Puma Signature Navy Footwear,Olive,Footwear,154,April 2025
Jayanagar,Van Heusen Modern Beige Top,Navy,Tops,31,April 2025
Jayanagar,Biba Premium White Footwear,Blue,Ethnic Wear,160,April 2025
Jayanagar,Biba Designer Blue Bottom,Blue,Tops,109,April 2025
Jayanagar,Biba Essential Mustard Accessorie,Mustard,Accessories,185,April 2025
Jayanagar,Van Heusen Exclusive White Accessorie,Olive,Ethnic Wear,86,April 2025
Jayanagar,Puma Premium Beige Top,Mustard,Tops,138,April 2025
Jayanagar,Van Heusen Everyday Navy Accessorie,Blue,Accessories,183,April 2025
Jayanagar,Campus Elite Maroon Bottom,White,Ethnic Wear,54,April 2025
Jayanagar,Puma Designer Blue Bottom,Olive,Bottoms,42,April 2025
HSR Layout,Biba Luxury Olive Top,Mustard,Tops,184,April 2025
HSR Layout,HRX Modern Pastel Ethnic Wear,Olive,Bottoms,162,April 2025
HSR Layout,Biba Classic Black Footwear,Beige,Tops,32,April 2025
HSR Layout,HRX Classic Pastel Ethnic Wear,Blue,Ethnic Wear,151,April 2025
HSR Layout,Van Heusen Modern Blue Footwear,Maroon,Accessories,127,April 2025
HSR Layout,Campus Signature Black Top,Blue,Ethnic Wear,38,April 2025
HSR Layout,Biba Essential Black Ethnic Wear,Navy,Bottoms,155,April 2025
HSR Layout,Roadster Signature Maroon Accessorie,White,Tops,154,April 2025
HSR Layout,Biba Classic Navy Top,Maroon,Accessories,98,April 2025
HSR Layout,Puma Modern Olive Ethnic Wear,Maroon,Ethnic Wear,177,April 2025
HSR Layout,Roadster Premium Black Accessorie,Pastel,Tops,54,April 2025
HSR Layout,W Basic Blue Footwear,Mustard,Bottoms,168,April 2025
HSR Layout,Biba Luxury Blue Ethnic Wear,Black,Ethnic Wear,94,April 2025
HSR Layout,Campus Signature Navy Footwear,Black,Ethnic Wear,78,April 2025
HSR Layout,HRX Elite Olive Ethnic Wear,Black,Footwear,87,April 2025
